test,set,lab_id,file_id,substrate,bottle_id,mass_inoc,mass_sub,c_vs_sub_m,c_vs_sub_f,c_vs_inoc,ISR
1,1.3,E16,111,Sunflower seeds,1632,50,0.2974,0.9037,0.915,0.01075,1.975
1,1.3,E16,111,Sunflower seeds,1633,50,0.2974,0.9037,0.915,0.01075,1.975
1,1.3,E16,111,Wheat straw,1634,50,0.304,0.8841,0.872,0.01075,2.028
1,1.3,E16,111,Wheat straw,1635,50,0.304,0.8841,0.872,0.01075,2.028
1,1.3,E16,111,Wheat straw,1636,50,0.304,0.8841,0.872,0.01075,2.028
1,1.3,E17,83,Blank,512,1900,0,,,0.0194,
1,1.3,E17,83,Blank,513,1900,0,,,0.0194,
1,1.3,E17,83,Cellulose,518,1900,6,0.9629,0.989,0.0194,6.21
1,1.3,E17,83,Cellulose,523,1900,6,0.9629,0.989,0.0194,6.21
1,1.3,E17,83,Rabbit feed,519,1900,6.4,0.7938,0.803,0.0194,7.171
1,1.3,E17,83,Rabbit feed,520,1900,6.4,0.7938,0.803,0.0194,7.171
1,1.3,E17,83,Rabbit feed,521,1900,6.4,0.7938,0.803,0.0194,7.171
1,1.3,E17,83,Sunflower seeds,514,1900,6.1,0.9118,0.915,0.0194,6.603
1,1.3,E17,83,Sunflower seeds,516,1900,6.1,0.9118,0.915,0.0194,6.603
1,1.3,E17,83,Sunflower seeds,524,1900,6.1,0.9118,0.915,0.0194,6.603
1,1.3,E17,83,Wheat straw,515,1900,6.3,0.8842,0.872,0.0194,6.708
1,1.3,E17,83,Wheat straw,517,1900,6.3,0.8842,0.872,0.0194,6.708
1,1.3,E17,83,Wheat straw,522,1900,6.3,0.8842,0.872,0.0194,6.708
1,1.3,E18,57,Blank,1015,61,0,,,0.02143,
1,1.3,E18,57,Blank,1016,60.3,0,,,0.02143,
1,1.3,E18,57,Blank,1017,61.1,0,,,0.02143,
1,1.3,E18,57,Cellulose,1018,61.3,0.7008,0.9862,0.989,0.02143,1.896
1,1.3,E18,57,Cellulose,1019,61.2,0.7007,0.9862,0.989,0.02143,1.893
1,1.3,E18,57,Cellulose,1020,60,0.7015,0.9862,0.989,0.02143,1.854
1,1.3,E18,57,Rabbit feed,1021,60.8,0.8427,0.8036,0.803,0.02143,1.926
1,1.3,E18,57,Rabbit feed,1022,59.9,0.842,0.8036,0.803,0.02143,1.899
1,1.3,E18,57,Rabbit feed,1023,60.1,0.8405,0.8036,0.803,0.02143,1.909
1,1.3,E18,57,Sunflower seeds,1027,60.1,0.7421,0.9132,0.915,0.02143,1.897
1,1.3,E18,57,Sunflower seeds,1028,60.1,0.7533,0.9132,0.915,0.02143,1.869
1,1.3,E18,57,Sunflower seeds,1029,60.6,0.7385,0.9132,0.915,0.02143,1.922
1,1.3,E18,57,Wheat straw,1024,61.1,0.7692,0.8837,0.872,0.02143,1.952
1,1.3,E18,57,Wheat straw,1025,61.3,0.7888,0.8837,0.872,0.02143,1.91
1,1.3,E18,57,Wheat straw,1026,60,0.7865,0.8837,0.872,0.02143,1.875
1,1.3,E19,47,Blank,628,90.05,0,,,0.0003372,
1,1.3,E19,47,Blank,629,90.08,0,,,0.0003372,
1,1.3,E19,47,Blank,630,90.1,0,,,0.0003372,
1,1.3,E19,47,Cellulose,631,90.14,0.7,0.9345,0.989,0.0003372,0.0439
1,1.3,E19,47,Cellulose,632,90.04,0.7,0.9345,0.989,0.0003372,0.04386
1,1.3,E19,47,Cellulose,633,90.05,0.7,0.9345,0.989,0.0003372,0.04386
1,1.3,E19,47,Rabbit feed,625,90.07,0.84,0.728,0.803,0.0003372,0.04503
1,1.3,E19,47,Rabbit feed,626,90,0.84,0.728,0.803,0.0003372,0.04499
1,1.3,E19,47,Rabbit feed,627,90.08,0.84,0.728,0.803,0.0003372,0.04503
1,1.3,E19,47,Sunflower seeds,634,90.11,0.76,0.8295,0.915,0.0003372,0.04369
1,1.3,E19,47,Sunflower seeds,635,90.09,0.76,0.8295,0.915,0.0003372,0.04368
1,1.3,E19,47,Sunflower seeds,636,90.03,0.76,0.8295,0.915,0.0003372,0.04366
1,1.3,E19,47,Wheat straw,637,90.11,0.78,0.7876,0.872,0.0003372,0.04467
1,1.3,E19,47,Wheat straw,638,90.06,0.78,0.7876,0.872,0.0003372,0.04465
1,1.3,E19,47,Wheat straw,639,90.08,0.78,0.7876,0.872,0.0003372,0.04466
1,1.3,E20,102,Blank,265,178.7,0,,,0.04523,
1,1.3,E20,102,Blank,266,178.7,0,,,0.04523,
1,1.3,E20,102,Blank,267,178.7,0,,,0.04523,
1,1.3,E20,102,Cellulose,262,178.7,4.13,0.9674,0.989,0.04523,1.98
1,1.3,E20,102,Cellulose,263,178.7,4.13,0.9674,0.989,0.04523,1.98
1,1.3,E20,102,Cellulose,264,178.7,4.13,0.9674,0.989,0.04523,1.98
1,1.3,E20,102,Rabbit feed,259,178.7,5,0.7996,0.803,0.04523,2.014
1,1.3,E20,102,Rabbit feed,260,178.7,5,0.7996,0.803,0.04523,2.014
1,1.3,E20,102,Rabbit feed,261,178.7,5,0.7996,0.803,0.04523,2.014
1,1.3,E20,102,Sunflower seeds,268,178.7,4.41,0.9082,0.915,0.04523,2.004
1,1.3,E20,102,Sunflower seeds,269,178.7,4.41,0.9082,0.915,0.04523,2.004
1,1.3,E20,102,Sunflower seeds,270,178.7,4.41,0.9082,0.915,0.04523,2.004
1,1.3,E20,102,Wheat straw,271,178.7,4.6,0.8695,0.872,0.04523,2.016
1,1.3,E20,102,Wheat straw,272,178.7,4.6,0.8695,0.872,0.04523,2.016
1,1.3,E20,102,Wheat straw,273,178.7,4.6,0.8695,0.872,0.04523,2.016
1,1.3,E21,45,Blank,319,150.3,,,,0.03947,
1,1.3,E21,45,Blank,320,150.2,,,,0.03947,
1,1.3,E21,45,Blank,321,150.2,,,,0.03947,
1,1.3,E21,45,Cellulose,322,150.2,3.07,0.9806,0.989,0.03947,1.952
1,1.3,E21,45,Cellulose,323,150.1,3.09,0.9806,0.989,0.03947,1.939
1,1.3,E21,45,Cellulose,324,150.2,3.1,0.9806,0.989,0.03947,1.934
1,1.3,E21,45,Rabbit feed,316,150.3,3.35,0.8082,0.803,0.03947,2.205
1,1.3,E21,45,Rabbit feed,317,150.3,3.4,0.8082,0.803,0.03947,2.173
1,1.3,E21,45,Rabbit feed,318,150.1,3.37,0.8082,0.803,0.03947,2.189
1,1.3,E21,45,Sunflower seeds,325,150.2,3.19,0.9155,0.915,0.03947,2.031
1,1.3,E21,45,Sunflower seeds,326,150.2,3.17,0.9155,0.915,0.03947,2.044
1,1.3,E21,45,Sunflower seeds,327,150.1,3.185,0.9155,0.915,0.03947,2.033
1,1.3,E21,45,Wheat straw,328,150.3,3.24,0.8845,0.872,0.03947,2.1
